Search keyword report
All time
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,[plancher epoxy garage rive-sud],Exact match,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,Eligible,,,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
Enabled,plancher polyaspartique garage,Broad match,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,Eligible,,,531,43,8.10%,CAD,2.69,115.61,6.98%,3.00,38.54
Enabled,"""plancher polyaspartique garage""",Phrase match,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,Eligible,,,3,2,66.67%,CAD,2.89,5.77,0.00%,0.00,0.00
Enabled,[plancher garage beton],Exact match,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,Eligible,,,1,0,0.00%,CAD,0,0.00,0.00%,0.00,0.00
Enabled,"""plancher epoxy garage rive-sud""",Phrase match,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,Eligible,,,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
Enabled,"""plancher garage beton""",Phrase match,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,Eligible,,,4,0,0.00%,CAD,0,0.00,0.00%,0.00,0.00
Enabled,"""polyaspartique garage""",Phrase match,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,Eligible,,,74,7,9.46%,CAD,5.55,38.88,0.00%,0.00,0.00
Enabled,"""polyaspartic garage floor""",Phrase match,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,Eligible,,,1,1,100.00%,CAD,5.52,5.52,0.00%,0.00,0.00
Enabled,[garage floor coating],Exact match,Garage Express — Revêtement Garage Rive-Sud FR,Epoxy Garage EN,Eligible,,,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
Enabled,"""garage floor coating south shore""",Phrase match,Garage Express — Revêtement Garage Rive-Sud FR,Epoxy Garage EN,Not eligible,rarely served,,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
Enabled,[epoxy garage],Exact match,Garage Express — Revêtement Garage Rive-Sud FR,Epoxy Garage EN,Eligible,,,10,1,10.00%,CAD,1.52,1.52,0.00%,0.00,0.00
Enabled,"""revetement garage""",Phrase match,Garage Express — Revêtement Garage Rive-Sud FR,Revetement Garage,Eligible,,,148,11,7.43%,CAD,2.47,27.20,0.00%,0.00,0.00
Paused,"""polyaspartic garage floor""",Phrase match,Garage Express — Revêtement Garage Rive-Sud FR,Epoxy Garage EN,Paused,paused,,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
Enabled,"""epoxy garage floor""",Phrase match,Garage Express — Revêtement Garage Rive-Sud FR,Epoxy Garage EN,Eligible,,,0,0, --,CAD,0,0.00,0.00%,0.00,0.00
Paused,[polyaspartic garage floor],Exact match,Garage Express — Revêtement Garage Rive-Sud FR,Epoxy Garage EN,Paused,paused,,2,1,50.00%,CAD,1.73,1.73,0.00%,0.00,0.00
Enabled,"""garage floor epoxy""",Phrase match,Garage Express — Revêtement Garage Rive-Sud FR,Epoxy Garage EN,Eligible,,,40,6,15.00%,CAD,3.59,21.56,0.00%,0.00,0.00
Enabled,[revêtement plancher garage],Exact match,Garage Express — Revêtement Garage Rive-Sud FR,Revetement Garage,Eligible,,,36,2,5.56%,CAD,1.93,3.87,0.00%,0.00,0.00
Enabled,"""revêtement plancher garage""",Phrase match,Garage Express — Revêtement Garage Rive-Sud FR,Revetement Garage,Eligible,,,46,3,6.52%,CAD,4.60,13.80,33.33%,1.00,13.80
