Search terms report
All time
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
garage époxy,Exact match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Époxy Garage,0,3,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
époxy plancher garage canac,Phrase match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Revetement Garage,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
epoxy garage floor,Exact match,Added,Garage Express — Revêtement Garage Rive-Sud FR,Epoxy Garage EN,0,13,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
plancher ciment garage,Exact match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Ad group 1,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
how much does epoxy garage floor cost,Phrase match,None,Garage Express — Revêtement Garage Rive-Sud FR,Époxy Garage,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
pose epoxy garage,Exact match,Added,Garage Express — Revêtement Garage Rive-Sud FR,Ad group 1,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
rocksolid garage floor coating,Phrase match,None,Garage Express — Revêtement Garage Rive-Sud FR,Ad group 1,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
garage floor finishing companies near me,Phrase match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Époxy Garage,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
plancher garage polyaspartique,Exact match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,3,5,60.00%,CAD,4.57,13.70,Search,0.00%,0.00,0.00
plancher époxy prix,Exact match,Added,Garage Express — Revêtement Garage Rive-Sud FR,Époxy Garage,1,7,14.29%,CAD,4.73,4.73,Search,0.00%,0.00,0.00
epoxy plancher,Phrase match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Epoxy Garage EN,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
epoxy mf,Broad match,None,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
plancher de garage polyurea,Broad match,None,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
recouvrement plancher garage,Exact match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Ad group 1,0,2,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
finition interieur de garage,Phrase match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Revetement Garage,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
epoxy garage floor price,Phrase match,None,Garage Express — Revêtement Garage Rive-Sud FR,Ad group 1,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
epoxy floor cost per square foot,Phrase match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Epoxy Garage EN,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
everflow epoxy,Phrase match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Epoxy Garage EN,0,2,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
polyaspartic floor coating,Exact match,Added,Garage Express — Revêtement Garage Rive-Sud FR,Polyaspartic Floor,1,7,14.29%,CAD,2.09,2.09,Search,0.00%,0.00,0.00
garage floor tiles vs epoxy,Phrase match,None,Garage Express — Revêtement Garage Rive-Sud FR,Époxy Garage,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
garage floor repair,Broad match,None,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,0,2,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
polyaspartique,Broad match,None,Garage Express — Revêtement Garage Rive-Sud FR,Plancher Polyaspartique,0,30,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
epoxy shield,Phrase match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Époxy Garage,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
plancher pour garage,Exact match (close variant),None,Garage Express — Revêtement Garage Rive-Sud FR,Revetement Garage,0,1,0.00%,CAD,0,0.00,Search,0.00%,0.00,0.00
