Untitled report
"March 1, 2026 - March 27, 2026"
Quality Score,Search keyword,Search keyword match type,Impr.,Clicks,CTR,Currency code,Avg. CPC,Conversions
 --,plancher polyaspartique garage,Broad match,531,43,8.10%,CAD,2.69,3.00
 --,revetement garage,Phrase match,149,11,7.38%,CAD,2.47,0.00
5,epoxy garage,Phrase match,142,11,7.75%,CAD,4.29,1.00
5,plancher époxy prix,Phrase match,137,10,7.30%,CAD,2.60,0.00
5,epoxy garage,Exact match,115,16,13.91%,CAD,7.39,0.00
2,epoxy floor coating,Phrase match,93,9,9.68%,CAD,4.74,3.00
 --,revêtement garage,Phrase match,81,9,11.11%,CAD,4.16,0.00
 --,garage floor coating,Phrase match,77,5,6.49%,CAD,3.21,0.00
6,polyaspartique garage,Phrase match,74,7,9.46%,CAD,5.55,0.00
2,epoxy floor coating,Exact match,51,5,9.80%,CAD,6.70,0.00
3,revêtement plancher garage,Phrase match,46,3,6.52%,CAD,4.60,1.00
 --,garage floor coating,Phrase match,41,4,9.76%,CAD,5.27,1.00
3,garage floor epoxy,Phrase match,40,6,15.00%,CAD,3.59,0.00
6,epoxy garage,Exact match,40,6,15.00%,CAD,4.04,0.00
3,revêtement plancher garage,Exact match,36,2,5.56%,CAD,1.93,0.00
7,plancher epoxy garage,Exact match,28,1,3.57%,CAD,4.31,0.00
3,garage floor epoxy,Exact match,25,2,8.00%,CAD,2.60,0.00
3,epoxy garage floor,Exact match,19,0,0.00%,CAD,0,0.00
 --,garage floor epoxy,Phrase match,17,1,5.88%,CAD,5.03,0.00
 --,epoxy garage montreal,Exact match,16,0,0.00%,CAD,0,0.00
 --,garage floor coating,Phrase match,16,2,12.50%,CAD,6.25,0.00
1,revêtement plancher garage,Phrase match,16,0,0.00%,CAD,0,0.00
 --,concrete coating,Phrase match,14,2,14.29%,CAD,17.24,0.00
1,polyaspartique garage,Phrase match,14,1,7.14%,CAD,4.28,0.00
3,epoxy garage floor,Exact match,13,0,0.00%,CAD,0,0.00
1,revêtement plancher garage,Exact match,13,2,15.38%,CAD,2.86,0.00
1,epoxy garage floor,Exact match,12,3,25.00%,CAD,9.65,0.00
3,plancher garage epoxy,Phrase match,11,1,9.09%,CAD,4.76,0.00
5,garage floor epoxy montreal,Exact match,11,3,27.27%,CAD,20.48,0.00
3,epoxy garage,Exact match,10,1,10.00%,CAD,1.52,0.00
1,plancher epoxy garage,Exact match,10,3,30.00%,CAD,7.70,1.00
5,polyaspartic floor coating,Exact match,7,1,14.29%,CAD,2.09,0.00
 --,plancher garage béton,Exact match,7,0,0.00%,CAD,0,0.00
3,epoxy flooring garage,Phrase match,5,0,0.00%,CAD,0,0.00
 --,garage flooring montreal,Phrase match,5,0,0.00%,CAD,0,0.00
 --,garage flooring montreal,Phrase match,5,0,0.00%,CAD,0,0.00
 --,epoxy garage brossard,Exact match,5,0,0.00%,CAD,0,0.00
 --,plancher garage beton,Phrase match,4,0,0.00%,CAD,0,0.00
 --,polyaspartic garage floor,Phrase match,4,2,50.00%,CAD,7.17,0.00
 --,plancher polyaspartique garage,Phrase match,3,2,66.67%,CAD,2.89,0.00
 --,polyaspartic garage floor,Exact match,2,1,50.00%,CAD,1.73,0.00
 --,epoxy garage montréal,Phrase match,2,0,0.00%,CAD,0,0.00
5,epoxy garage rive-sud,Exact match,2,0,0.00%,CAD,0,0.00
 --,epoxy garage laval,Exact match,2,1,50.00%,CAD,13.93,0.00
7,polyaspartic garage floor,Broad match,2,1,50.00%,CAD,0.88,0.00
3,epoxy garage montreal,Phrase match,2,1,50.00%,CAD,10.25,0.00
3,epoxy garage,Phrase match,1,0,0.00%,CAD,0,0.00
7,epoxy garage floor montreal,Phrase match,1,0,0.00%,CAD,0,0.00
 --,garage floor epoxy montreal,Phrase match,1,0,0.00%,CAD,0,0.00
 --,polyaspartic garage floor,Phrase match,1,1,100.00%,CAD,5.52,0.00
 --,plancher garage beton,Exact match,1,0,0.00%,CAD,0,0.00
7,polyaspartic garage floor,Exact match,1,0,0.00%,CAD,0,0.00
 --,plancher garage béton,Phrase match,1,0,0.00%,CAD,0,0.00
6,pose epoxy garage,Exact match,1,0,0.00%,CAD,0,0.00
5,garage floor epoxy montreal,Phrase match,1,0,0.00%,CAD,0,0.00
 --,garage floor coating,Exact match,0,0,0,CAD,0,0.00
3,epoxy garage floor,Phrase match,0,0,0,CAD,0,0.00
 --,polyaspartic garage floor,Phrase match,0,0,0,CAD,0,0.00
 --,epoxy garage laval,Exact match,0,0,0,CAD,0,0.00
 --,garage floor coating montreal,Phrase match,0,0,0,CAD,0,0.00
 --,garage floor coating south shore,Phrase match,0,0,0,CAD,0,0.00
 --,epoxy garage south shore,Exact match,0,0,0,CAD,0,0.00
7,plancher epoxy garage,Phrase match,0,0,0,CAD,0,0.00
 --,coating garage,Phrase match,0,0,0,CAD,0,0.00
 --,plancher epoxy prix québec,Exact match,0,0,0,CAD,0,0.00
 --,revêtement époxy garage,Phrase match,0,0,0,CAD,0,0.00
 --,plancher epoxy prix québec,Phrase match,0,0,0,CAD,0,0.00
 --,pose epoxy garage,Exact match,0,0,0,CAD,0,0.00
 --,epoxy garage boucherville,Exact match,0,0,0,CAD,0,0.00
 --,epoxy garage brossard,Exact match,0,0,0,CAD,0,0.00
 --,epoxy garage candiac,Exact match,0,0,0,CAD,0,0.00
 --,epoxy garage longueuil,Exact match,0,0,0,CAD,0,0.00
 --,epoxy garage saint-constant,Exact match,0,0,0,CAD,0,0.00
 --,epoxy garage châteauguay,Exact match,0,0,0,CAD,0,0.00
 --,epoxy garage saint-constant,Phrase match,0,0,0,CAD,0,0.00
 --,epoxy garage candiac,Phrase match,0,0,0,CAD,0,0.00
 --,epoxy garage brossard,Phrase match,0,0,0,CAD,0,0.00
 --,epoxy garage longueuil,Phrase match,0,0,0,CAD,0,0.00
 --,epoxy garage la prairie,Phrase match,0,0,0,CAD,0,0.00
 --,epoxy garage saint-hubert,Phrase match,0,0,0,CAD,0,0.00
 --,epoxy garage saint-hubert,Exact match,0,0,0,CAD,0,0.00
 --,contractor epoxy garage montreal,Exact match,0,0,0,CAD,0,0.00
 --,garage floor coating rive-sud,Phrase match,0,0,0,CAD,0,0.00
 --,garage floor coating rive-sud,Exact match,0,0,0,CAD,0,0.00
 --,epoxy garage boucherville,Phrase match,0,0,0,CAD,0,0.00
 --,epoxy garage châteauguay,Phrase match,0,0,0,CAD,0,0.00
 --,epoxy garage sainte-julie,Phrase match,0,0,0,CAD,0,0.00
 --,plancher epoxy garage rive-sud,Phrase match,0,0,0,CAD,0,0.00
 --,plancher epoxy garage rive-sud,Exact match,0,0,0,CAD,0,0.00
 --,revêtement epoxy garage montreal,Phrase match,0,0,0,CAD,0,0.00
