Untitled report
"March 1, 2026 - March 27, 2026"
Search keyword,Search term,Impr.,Clicks,CTR,Currency code,Avg. CPC,Conversions,Cost
epoxy garage,epoxy garage,41,7,17.07%,CAD,8.03,0.00,56.22
plancher epoxy garage,plancher epoxy garage,28,1,3.57%,CAD,4.31,0.00,4.31
epoxy garage floor,epoxy garage floor,11,0,0.00%,CAD,0,0.00,0.00
plancher époxy prix,plancher epoxy prix,10,1,10.00%,CAD,1.72,0.00,1.72
epoxy garage,plancher de garage en epoxy,9,3,33.33%,CAD,12.53,0.00,37.59
plancher époxy prix,prix epoxy,8,0,0.00%,CAD,0,0.00,0.00
epoxy garage,garage epoxy,7,2,28.57%,CAD,5.18,0.00,10.36
epoxy garage,garage epoxy floor,7,0,0.00%,CAD,0,0.00,0.00
plancher époxy prix,plancher époxy prix,7,1,14.29%,CAD,4.73,0.00,4.73
epoxy garage,peinture epoxy garage,5,2,40.00%,CAD,3.71,0.00,7.42
epoxy garage,plancher garage epoxy,5,0,0.00%,CAD,0,0.00,0.00
plancher époxy prix,prix plancher epoxy,5,0,0.00%,CAD,0,0.00,0.00
epoxy garage,plancher de garage epoxy,4,0,0.00%,CAD,0,0.00,0.00
plancher époxy prix,entrepreneur plancher epoxy,4,1,25.00%,CAD,2.14,0.00,2.14
plancher époxy prix,plancher epoxy rive sud,4,0,0.00%,CAD,0,0.00,0.00
epoxy garage floor,garage epoxy floor,3,0,0.00%,CAD,0,0.00,0.00
garage floor coating,zone garage,3,1,33.33%,CAD,7.49,0.00,7.49
epoxy garage,epoxy plancher garage,3,0,0.00%,CAD,0,0.00,0.00
epoxy garage,garage époxy,3,0,0.00%,CAD,0,0.00,0.00
epoxy garage,époxy garage,3,0,0.00%,CAD,0,0.00,0.00
plancher époxy prix,plancher epoxy prix pied carré,3,0,0.00%,CAD,0,0.00,0.00
plancher époxy prix,prix plancher époxy pied carré,3,0,0.00%,CAD,0,0.00,0.00
